stop_id,stop_name,bus_route_numbers,bus_route_names,directions,route_direction_pairs,eastbound_southbound_routes,westbound_northbound_routes,route_count
16754,1 Front St West - Union Station,114; 121; 202,114 - Queens Quay East; 121 - Esplanade-River; 202 - Cherry Beach,EASTBOUND; WESTBOUND,114:EASTBOUND; 114:EASTBOUND; 121:EASTBOUND; 121:WESTBOUND; 202:EASTBOUND; 202:WESTBOUND,114; 121; 202,114; 121; 202,3
11655,1 Overland Dr - Better Living - Thompson House,403,403 - South Don Mills,EASTBOUND; NORTHBOUND,403:EASTBOUND; 403:NORTHBOUND,403,403,1
11259,1 and 3 Concorde Pl North Side,100,100 - Flemingdon Park,SOUTHBOUND; NORTHBOUND,100:SOUTHBOUND; 100:NORTHBOUND,100,100,1
15674,10 Deauville Lane,403,403 - South Don Mills,EASTBOUND; NORTHBOUND,403:EASTBOUND; 403:NORTHBOUND,403,403,1
11699,10 Disco Rd,112,112 - West Mall,WESTBOUND,112:WESTBOUND; 112:WESTBOUND,112,112,1
15608,10 Gower St - Gower Park Place,404,404 - East York,EASTBOUND,404:EASTBOUND; 404:EASTBOUND,404,404,1
604,100 Bridgeland Ave,18,18 - Caledonia,NORTHBOUND,18:NORTHBOUND,,18,1
11085,100 Carrier Dr,96,96 - Wilson,EASTBOUND,96:EASTBOUND,96,,1
11367,100 Consilium Pl,134,134 - Progress,NORTHBOUND,134:NORTHBOUND,,134,1
9664,100 Lesmill Rd,122,122 - Graydon Hall,EASTBOUND,122:EASTBOUND,122,,1
5850,100 Norfinch Dr,84,84 - Sheppard West,WESTBOUND,84:WESTBOUND,,84,1
8300,100 Steeles Ave West,60; 353,60 - Steeles West; 353 - Steeles,EASTBOUND,60:EASTBOUND; 353:EASTBOUND,60; 353,,2
4718,100 Wynford Dr - Bell Canada,100,100 - Flemingdon Park,SOUTHBOUND,100:SOUTHBOUND,100,,1
2109,101 Duncan Mill Rd,122,122 - Graydon Hall,WESTBOUND,122:WESTBOUND,,122,1
2874,1020 McNicoll Ave,42,42 - Cummer,EASTBOUND,42:EASTBOUND,42,,1
5591,1030 Martin Grove Rd,46,46 - Martin Grove,NORTHBOUND,46:NORTHBOUND,,46,1
14303,105 Clement Rd - Richview Residence - Clement Building,405,405 - Etobicoke,EASTBOUND,405:EASTBOUND,405,,1
10847,105 Ironside Cres,134,134 - Progress,SOUTHBOUND,134:SOUTHBOUND,134,,1
9565,105 Nugget Ave,131,131 - Nugget,WESTBOUND,131:WESTBOUND,131,,1
11656,1050 Don Mills Rd - Shops On Don Mills,403,403 - South Don Mills,EASTBOUND; NORTHBOUND,403:EASTBOUND; 403:NORTHBOUND,403,403,1
2875,1050 McNicoll Ave,42,42 - Cummer,EASTBOUND,42:EASTBOUND,42,,1
5592,1051 Martin Grove Rd @ Highway 409,46,46 - Martin Grove,SOUTHBOUND,46:SOUTHBOUND,46,,1
2899,1055 McNicoll Ave,42,42 - Cummer,WESTBOUND,42:WESTBOUND,,42,1
16565,106 Emmett Ave,73,73 - Royal York,NORTHBOUND,73:NORTHBOUND,,73,1
5205,106 Lansdowne Ave,47; 402,47 - Lansdowne; 402 - Parkdale,NORTHBOUND,47:NORTHBOUND; 402:NORTHBOUND,,47; 402,2
16834,109 Industry St,71; 171,71 - Runnymede; 171 - Mount Dennis,SOUTHBOUND,71:SOUTHBOUND; 171:SOUTHBOUND,71; 171,,2
16008,1091 Kingston Rd - Henley Gardens,404,404 - East York,EASTBOUND,404:EASTBOUND; 404:EASTBOUND,404,404,1
9605,1095 Bellamy Rd North,9,9 - Bellamy,SOUTHBOUND,9:SOUTHBOUND,9,,1
