route_id,route_name,mode,direction,stop_id,stop_name
10,10 - Van Horne,Bus,Inbound,1928,Don Mills Rd at Esterbrooke Ave
10,10 - Van Horne,Bus,Inbound,6266,Brian Ave at Van Horne Ave
10,10 - Van Horne,Bus,Inbound,7386,Van Horne Ave at Edmonton Dr
10,10 - Van Horne,Bus,Inbound,7388,Van Horne Ave at Hobart Dr
10,10 - Van Horne,Bus,Inbound,7389,Van Horne Ave at Houston Cres (West) West Side
10,10 - Van Horne,Bus,Inbound,7392,Van Horne Ave at Kingslake Rd
10,10 - Van Horne,Bus,Inbound,7394,Van Horne Ave at Lucifer Dr
10,10 - Van Horne,Bus,Inbound,13422,2980 Don Mills Rd
10,10 - Van Horne,Bus,Inbound,15330,Don Mills Station
10,10 - Van Horne,Bus,Inbound,16485,Don Mills Rd at Van Horne Ave South Side
10,10 - Van Horne,Bus,Inbound,16758,Don Mills Rd at Walkway to O'Shea Crescent
10,10 - Van Horne,Bus,Outbound,1919,Don Mills Rd at Deerford Rd
10,10 - Van Horne,Bus,Outbound,1929,Don Mills Rd at Fairview Mall Dr North Side
10,10 - Van Horne,Bus,Outbound,1938,Don Mills Rd at Godstone Rd
10,10 - Van Horne,Bus,Outbound,1949,Don Mills Rd at Leith Hill Rd North Side
10,10 - Van Horne,Bus,Outbound,6265,Brian Ave at Margaret Ave
10,10 - Van Horne,Bus,Outbound,6266,Brian Ave at Van Horne Ave
10,10 - Van Horne,Bus,Outbound,6764,140 Pleasant View Dr
10,10 - Van Horne,Bus,Outbound,6766,Pleasant View Dr at Brian Dr
10,10 - Van Horne,Bus,Outbound,7381,Van Horne Ave at Bickerton Cres
10,10 - Van Horne,Bus,Outbound,7382,Van Horne Ave at Clipper Rd
10,10 - Van Horne,Bus,Outbound,7384,Van Horne Ave at Don Mills Rd East Side
10,10 - Van Horne,Bus,Outbound,7385,Van Horne Ave at Edmonton Rd East Side
10,10 - Van Horne,Bus,Outbound,7387,Van Horne Ave at Hobart Dr
10,10 - Van Horne,Bus,Outbound,7390,Van Horne Ave at Houston Cres (West)
10,10 - Van Horne,Bus,Outbound,7391,Van Horne Ave at Kingslake Rd
10,10 - Van Horne,Bus,Outbound,7393,Van Horne Ave at Lucifer Dr
10,10 - Van Horne,Bus,Outbound,7395,Van Horne Ave at Victoria Park Ave
10,10 - Van Horne,Bus,Outbound,7421,Victoria Park Ave at Pleasant View Dr
10,10 - Van Horne,Bus,Outbound,15330,Don Mills Station
100,100 - Flemingdon Park,Bus,Inbound,650,Broadview Ave at Bater Ave
100,100 - Flemingdon Park,Bus,Inbound,652,Broadview Ave at Cosburn Ave North Side
100,100 - Flemingdon Park,Bus,Inbound,655,Broadview Ave at Browning Ave
100,100 - Flemingdon Park,Bus,Inbound,657,Broadview Ave at Mortimer Ave North Side
100,100 - Flemingdon Park,Bus,Inbound,2979,Overlea Blvd at Millwood Rd East Side
100,100 - Flemingdon Park,Bus,Inbound,2980,Overlea Blvd at Leaside Park Dr East Side
100,100 - Flemingdon Park,Bus,Inbound,2987,Overlea Blvd at William Morgan Dr
100,100 - Flemingdon Park,Bus,Inbound,2988,Overlea Blvd at East York Town Centre (East Side)
100,100 - Flemingdon Park,Bus,Inbound,3369,849 Broadview Ave
100,100 - Flemingdon Park,Bus,Inbound,3476,Deauville Lane at St Dennis Dr
100,100 - Flemingdon Park,Bus,Inbound,3635,Gateway Blvd South Side at Don Mills Rd East Side
100,100 - Flemingdon Park,Bus,Inbound,3636,Gateway Blvd South Side at Grenoble Dr South Side
100,100 - Flemingdon Park,Bus,Inbound,3639,Gervais Dr at Wynford Dr South Side
100,100 - Flemingdon Park,Bus,Inbound,3690,Grenoble Dr at Grenoble Dr
100,100 - Flemingdon Park,Bus,Inbound,3692,Grenoble Dr at Spanbridge Rd North Side
100,100 - Flemingdon Park,Bus,Inbound,3694,Grenoble Dr at Vendome Pl West Side
100,100 - Flemingdon Park,Bus,Inbound,4501,Pape Ave at O'Connor Dr North Side
100,100 - Flemingdon Park,Bus,Inbound,4520,Overlea Blvd at Thorncliffe Park Dr (West)
100,100 - Flemingdon Park,Bus,Inbound,4718,100 Wynford Dr - Bell Canada
100,100 - Flemingdon Park,Bus,Inbound,4719,Wynford Dr at Concorde Pl West Side
100,100 - Flemingdon Park,Bus,Inbound,4721,Wynford Dr at Eglinton Ave East
100,100 - Flemingdon Park,Bus,Inbound,4723,Wynford Dr at Sakura Way
100,100 - Flemingdon Park,Bus,Inbound,4727,St Dennis Dr at Linkwood Lane
100,100 - Flemingdon Park,Bus,Inbound,4730,Wynford Dr at Wynford Heights Cres
100,100 - Flemingdon Park,Bus,Inbound,8011,Overlea Blvd at Thorncliffe Park Dr (East)
100,100 - Flemingdon Park,Bus,Inbound,9507,Gateway Blvd at Sunny Glenway (West)
100,100 - Flemingdon Park,Bus,Inbound,10268,Spanbridge Rd at Grenoble Dr East Side
100,100 - Flemingdon Park,Bus,Inbound,10269,Spanbridge Rd at Vicora Linkway
100,100 - Flemingdon Park,Bus,Inbound,10270,Linkwood Lane at Windy Golfway (South)
100,100 - Flemingdon Park,Bus,Inbound,10271,Linkwood Lane at Opposite 5 Shady Golfway
100,100 - Flemingdon Park,Bus,Inbound,10272,Linkwood Lane at St Dennis Dr
100,100 - Flemingdon Park,Bus,Inbound,11229,Concorde Pl at Concorde Pl Cul De Sac
100,100 - Flemingdon Park,Bus,Inbound,11230,Concorde Pl at Concorde Gate South Side
100,100 - Flemingdon Park,Bus,Inbound,11259,1 and 3 Concorde Pl North Side
100,100 - Flemingdon Park,Bus,Inbound,11260,Concorde Pl at McDonald's Pl
100,100 - Flemingdon Park,Bus,Inbound,11347,St Dennis Dr at Opposite 195-205-215 Wynford Dr
100,100 - Flemingdon Park,Bus,Inbound,14635,Broadview Station
