station_name,stop_name,stop_id,bus_route_number,bus_route_name,direction,estimated_arrival,estimated_arrival_in_min,prediction_score_100,prediction_confidence,forecast_generated_at
Bathurst Station,Bathurst Station,14617,307,307 - Bathurst,Inbound,Not available,,68.0,medium,2026-06-01T05:12:47.871235
Bathurst Station,Bathurst Station,14617,7,7 - Bathurst,Inbound,Not available,,68.0,medium,2026-06-01T05:12:47.871235
Bathurst Station,Bathurst Station,14617,7,7 - Bathurst,Outbound,Not available,,68.0,medium,2026-06-01T05:12:47.871235
Broadview Station,Broadview Station,14635,100,100 - Flemingdon Park,Inbound,Not available,,66.0,medium,2026-06-01T05:12:56.733633
Broadview Station,Broadview Station,14635,100,100 - Flemingdon Park,Outbound,Not available,,66.0,medium,2026-06-01T05:12:56.733633
Castle Frank Station,Castle Frank Station,14641,65,65 - Parliament,Inbound,Not available,,68.0,medium,2026-06-01T05:13:00.545926
Castle Frank Station,Castle Frank Station,14641,65,65 - Parliament,Outbound,Not available,,68.0,medium,2026-06-01T05:13:00.545926
Cedarvale Station,Cedarvale Station,14676,363,363 - Ossington,Inbound,Not available,,67.0,medium,2026-06-01T05:13:22.374692
Cedarvale Station,Cedarvale Station,14676,363,363 - Ossington,Outbound,Not available,,67.0,medium,2026-06-01T05:13:22.374692
Christie Station,Christie Station,776,126,126 - Christie,Inbound,Not available,,69.0,medium,2026-06-01T05:14:51.137122
Christie Station,Christie Station,776,126,126 - Christie,Outbound,Not available,,69.0,medium,2026-06-01T05:14:51.137122
Coxwell Station,Coxwell Station,14643,70,70 - O'Connor,Inbound,Not available,,29.0,low,2026-06-01T05:13:03.576094
Coxwell Station,Coxwell Station,14643,70,70 - O'Connor,Outbound,Not available,,29.0,low,2026-06-01T05:13:03.576094
Davisville Station,Davisville Station,14646,14,14 - Glencairn,Inbound,Not available,,66.0,medium,2026-06-01T05:13:06.846333
Davisville Station,Davisville Station,14646,28,28 - Bayview South,Inbound,Not available,,66.0,medium,2026-06-01T05:13:06.846333
Don Mills Station,Don Mills Station,14623,25,25 - Don Mills,Inbound,Not available,,76.0,high,2026-06-01T05:12:53.641723
Don Mills Station,Don Mills Station,14623,25,25 - Don Mills,Outbound,Not available,,76.0,high,2026-06-01T05:12:53.641723
Don Mills Station,Don Mills Station,14623,325,325 - Don Mills,Outbound,Not available,,76.0,high,2026-06-01T05:12:53.641723
Donlands Station,Donlands Station,14649,51,51 - Leslie,Inbound,Not available,,68.0,medium,2026-06-01T05:13:10.109321
Donlands Station,Donlands Station,14649,51,51 - Leslie,Outbound,Not available,,68.0,medium,2026-06-01T05:13:10.109321
Dundas West Station,Dundas West Station,14662,168,168 - Symington,Inbound,Not available,,66.0,medium,2026-06-01T05:13:16.060076
Dundas West Station,Dundas West Station,14662,168,168 - Symington,Outbound,Not available,,66.0,medium,2026-06-01T05:13:16.060076
Eglinton Station,Eglinton Station,14669,97,97 - Yonge,Inbound,Not available,,65.0,medium,2026-06-01T05:13:19.409838
Eglinton Station,Eglinton Station,14669,97,97 - Yonge,Outbound,Not available,,65.0,medium,2026-06-01T05:13:19.409838
Finch Station,Finch Station,14683,953,953 - Steeles East Express,Inbound,Not available,,66.0,medium,2026-06-01T05:13:25.394553
Finch Station,Finch Station,14683,953,953 - Steeles East Express,Outbound,Not available,,66.0,medium,2026-06-01T05:13:25.394553
Finch West Station,Finch West Station,15565,101,101 - Downsview Park,Inbound,Not available,,67.0,medium,2026-06-01T05:14:34.976129
Finch West Station,Finch West Station,15565,101,101 - Downsview Park,Outbound,Not available,,67.0,medium,2026-06-01T05:14:34.976129
Finch West Station,Finch West Station,15565,336,336 - Finch West,Inbound,Not available,,67.0,medium,2026-06-01T05:14:34.976129
Glencairn Station,Glencairn Station,3665,14,14 - Glencairn,Outbound,Not available,,76.0,high,2026-06-01T05:14:48.344137
Greenwood Station,Greenwood Station,14694,31,31 - Greenwood,Inbound,Not available,,69.0,medium,2026-06-01T05:13:28.405716
Greenwood Station,Greenwood Station,14694,31,31 - Greenwood,Outbound,Not available,,69.0,medium,2026-06-01T05:13:28.405716
High Park Station,High Park Station,14695,30,30 - High Park North,Inbound,Not available,,76.0,high,2026-06-01T05:13:31.569564
High Park Station,High Park Station,14695,30,30 - High Park North,Outbound,Not available,,76.0,high,2026-06-01T05:13:31.569564
Islington Station,Islington Station,16045,110,110 - Islington South,Inbound,Not available,,69.0,medium,2026-06-01T05:14:42.100821
Islington Station,Islington Station,16045,110,110 - Islington South,Outbound,Not available,,69.0,medium,2026-06-01T05:14:42.100821
Jane Station,Jane Station,14700,149,149 - Etobicoke-Bloor,Inbound,Not available,,91.0,high,2026-06-01T05:13:34.249486
