cumulative_dwell_time,cumulative_leg_time,cumulative_stops,day_of_week,section_id,hour_of_day,is_sunday,route_type,delay_seconds,gap_seconds,delay_severity,source
330,1320,7,2,85,2,0,1,300,540,3,toronto_open_data_subway
930,3720,8,2,90,2,0,1,0,0,0,toronto_open_data_subway
990,3960,10,2,27,2,0,1,0,0,0,toronto_open_data_subway
1770,7080,4,2,0,2,0,1,0,0,0,toronto_open_data_subway
1770,7080,9,2,90,2,0,1,0,0,0,toronto_open_data_subway
1800,7200,10,2,70,7,0,1,300,600,3,toronto_open_data_subway
420,1680,12,2,32,8,0,1,540,0,3,toronto_open_data_subway
480,1920,9,2,83,8,0,1,300,0,3,toronto_open_data_subway
450,1800,7,2,89,9,0,1,0,0,0,toronto_open_data_subway
690,2760,10,2,8,9,0,1,0,0,0,toronto_open_data_subway
1770,7080,3,2,51,9,0,1,0,0,0,toronto_open_data_subway
270,1080,9,2,35,10,0,1,0,0,0,toronto_open_data_subway
1710,6840,10,2,19,12,0,1,240,480,2,toronto_open_data_subway
360,1440,13,2,28,13,0,1,0,0,0,toronto_open_data_subway
1050,4200,6,2,96,13,0,1,0,0,0,toronto_open_data_subway
1350,5400,2,2,40,13,0,1,180,420,2,toronto_open_data_subway
300,1200,5,2,40,14,0,1,0,0,0,toronto_open_data_subway
1410,5640,6,2,80,14,0,1,0,0,0,toronto_open_data_subway
1710,6840,11,2,75,14,0,1,300,540,3,toronto_open_data_subway
240,960,12,2,53,15,0,1,0,0,0,toronto_open_data_subway
450,1800,2,2,84,15,0,1,240,480,2,toronto_open_data_subway
150,600,2,2,57,16,0,1,240,480,2,toronto_open_data_subway
150,600,14,2,36,16,0,1,0,0,0,toronto_open_data_subway
660,2640,5,2,58,16,0,1,240,480,2,toronto_open_data_subway
1050,4200,7,2,71,16,0,1,0,0,0,toronto_open_data_subway
1290,5160,9,2,2,16,0,1,720,960,3,toronto_open_data_subway
30,120,9,2,53,17,0,1,0,0,0,toronto_open_data_subway
240,960,6,2,78,17,0,1,180,420,2,toronto_open_data_subway
870,3480,9,2,48,17,0,1,0,0,0,toronto_open_data_subway
1140,4560,11,2,81,17,0,1,300,540,3,toronto_open_data_subway
1350,5400,13,2,11,17,0,1,0,0,0,toronto_open_data_subway
1440,5760,9,2,77,17,0,1,0,0,0,toronto_open_data_subway
1500,6000,11,2,62,17,0,1,240,480,2,toronto_open_data_subway
570,2280,5,2,80,18,0,1,540,780,3,toronto_open_data_subway
660,2640,4,2,92,18,0,1,360,720,3,toronto_open_data_subway
300,1200,13,2,23,19,0,1,420,720,3,toronto_open_data_subway
420,1680,3,2,41,19,0,1,180,480,2,toronto_open_data_subway
1080,4320,11,2,46,19,0,1,0,0,0,toronto_open_data_subway
180,720,6,2,26,21,0,1,360,720,3,toronto_open_data_subway
1560,6240,8,2,53,21,0,1,0,0,0,toronto_open_data_subway
30,120,7,2,33,22,0,1,0,0,0,toronto_open_data_subway
1080,4320,12,2,89,22,0,1,0,0,0,toronto_open_data_subway
1230,4920,13,2,98,23,0,1,0,0,0,toronto_open_data_subway
840,3360,10,2,70,0,0,1,0,0,0,toronto_open_data_subway
1230,4920,5,2,63,0,0,1,0,0,0,toronto_open_data_subway
1530,6120,11,2,7,0,0,1,0,0,0,toronto_open_data_subway
510,2040,11,2,66,1,0,1,180,540,2,toronto_open_data_subway
1170,4680,10,2,85,1,0,1,0,0,0,toronto_open_data_subway
1410,5640,13,2,54,1,0,1,0,0,0,toronto_open_data_subway
1590,6360,4,2,83,1,0,1,0,0,0,toronto_open_data_subway
180,720,7,3,6,2,0,1,0,0,0,toronto_open_data_subway
630,2520,2,3,19,5,0,1,0,0,0,toronto_open_data_subway
780,3120,6,3,13,5,0,1,0,0,0,toronto_open_data_subway
930,3720,12,3,39,5,0,1,0,0,0,toronto_open_data_subway
1500,6000,11,3,39,5,0,1,300,600,3,toronto_open_data_subway
1650,6600,3,3,42,5,0,1,180,360,2,toronto_open_data_subway
810,3240,13,3,24,6,0,1,0,0,0,toronto_open_data_subway
90,360,2,3,79,7,0,1,0,0,0,toronto_open_data_subway
690,2760,7,3,20,7,0,1,0,0,0,toronto_open_data_subway
1110,4440,4,3,68,7,0,1,0,0,0,toronto_open_data_subway
1590,6360,12,3,56,7,0,1,0,0,0,toronto_open_data_subway
330,1320,4,3,21,8,0,1,180,360,2,toronto_open_data_subway
90,360,5,3,8,9,0,1,0,0,0,toronto_open_data_subway
