stop_id,cumulative_dwell_time,cumulative_leg_time,cumulative_stops,day_of_week,section_id,rain_mm,wind_speed,visibility_km,commercial_speed,occupancy_rate,schedule_adherence,hour_of_day,is_peak_hour,temperature_c,snow_mm,is_holiday,is_special_event,delay_trend,route_historical_avg,delay_severity_category,schedule_adherence
STOP_100,0,0,0,4,50,0.0,10.0,10.0,25.0,0.5,3.3910813859103546,14,0,20.0,0.0,0,0,0.0,0.0,0,3.3910813859103546
STOP_105,150,600,5,4,27,0.0,10.0,10.0,25.0,0.5,8.8678370309785,8,1,20.0,0.0,0,0,0.0,0.0,1,8.8678370309785
STOP_102,60,240,2,4,2,0.0,10.0,10.0,25.0,0.5,-1.1265347050075998,14,0,20.0,0.0,0,0,0.0,0.0,0,-1.1265347050075998
STOP_106,180,720,6,4,3,0.0,10.0,10.0,25.0,0.5,5.8651660949430955,8,1,20.0,0.0,0,0,0.0,0.0,1,5.8651660949430955
STOP_101,30,120,1,4,27,0.0,10.0,10.0,25.0,0.5,-1.4437293722398987,8,1,20.0,0.0,0,0,0.0,0.0,0,-1.4437293722398987
STOP_104,120,480,4,4,14,0.0,10.0,10.0,25.0,0.5,4.63866415485451,21,0,20.0,0.0,0,0,0.0,0.0,0,4.63866415485451
STOP_110,300,1200,10,4,13,0.0,10.0,10.0,25.0,0.5,8.653195523016349,13,0,20.0,0.0,0,0,0.0,0.0,1,8.653195523016349
STOP_106,180,720,6,4,23,0.0,10.0,10.0,25.0,0.5,6.0435971520074965,11,0,20.0,0.0,0,0,0.0,0.0,1,6.0435971520074965
STOP_101,30,120,1,4,53,0.0,10.0,10.0,25.0,0.5,0.03434909466867586,15,0,20.0,0.0,0,0,0.0,0.0,0,0.03434909466867586
STOP_111,330,1320,11,4,65,0.0,10.0,10.0,25.0,0.5,5.092707002328171,13,0,20.0,0.0,0,0,0.0,0.0,1,5.092707002328171
STOP_101,30,120,1,4,69,0.0,10.0,10.0,25.0,0.5,-3.089457898281784,7,1,20.0,0.0,0,0,0.0,0.0,0,-3.089457898281784
STOP_110,300,1200,10,4,25,0.0,10.0,10.0,25.0,0.5,-4.621439812276037,12,0,20.0,0.0,0,0,0.0,0.0,0,-4.621439812276037
STOP_101,30,120,1,4,65,0.0,10.0,10.0,25.0,0.5,-2.2482139827465604,13,0,20.0,0.0,0,0,0.0,0.0,0,-2.2482139827465604
STOP_109,270,1080,9,4,27,0.0,10.0,10.0,25.0,0.5,6.58774429119106,8,1,20.0,0.0,0,0,0.0,0.0,1,6.58774429119106
STOP_111,330,1320,11,4,23,0.0,10.0,10.0,25.0,0.5,8.984841373433163,11,0,20.0,0.0,0,0,0.0,0.0,1,8.984841373433163
STOP_102,60,240,2,4,60,0.0,10.0,10.0,25.0,0.5,-4.549680017763922,9,1,20.0,0.0,0,0,0.0,0.0,0,-4.549680017763922
STOP_102,60,240,2,4,18,0.0,10.0,10.0,25.0,0.5,-3.2835272208146216,10,0,20.0,0.0,0,0,0.0,0.0,0,-3.2835272208146216
STOP_102,60,240,2,4,28,0.0,10.0,10.0,25.0,0.5,5.561249069820086,7,1,20.0,0.0,0,0,0.0,0.0,1,5.561249069820086
STOP_110,300,1200,10,4,85,0.0,10.0,10.0,25.0,0.5,7.530587954263691,13,0,20.0,0.0,0,0,0.0,0.0,1,7.530587954263691
STOP_110,300,1200,10,4,64,0.0,10.0,10.0,25.0,0.5,5.520749283395351,21,0,20.0,0.0,0,0,0.0,0.0,1,5.520749283395351
STOP_101,30,120,1,4,14,0.0,10.0,10.0,25.0,0.5,8.224234598169964,21,0,20.0,0.0,0,0,0.0,0.0,1,8.224234598169964
STOP_104,120,480,4,4,33,0.0,10.0,10.0,25.0,0.5,5.1717074643131316,8,1,20.0,0.0,0,0,0.0,0.0,1,5.1717074643131316
STOP_111,330,1320,11,4,22,0.0,10.0,10.0,25.0,0.5,5.477959378137057,18,1,20.0,0.0,0,0,0.0,0.0,1,5.477959378137057
STOP_107,210,840,7,4,15,0.0,10.0,10.0,25.0,0.5,5.251806661112633,17,1,20.0,0.0,0,0,0.0,0.0,1,5.251806661112633
STOP_108,240,960,8,4,60,0.0,10.0,10.0,25.0,0.5,6.425138143204939,9,1,20.0,0.0,0,0,0.0,0.0,1,6.425138143204939
STOP_107,210,840,7,4,55,0.0,10.0,10.0,25.0,0.5,-2.083285333524671,20,0,20.0,0.0,0,0,0.0,0.0,0,-2.083285333524671
STOP_102,60,240,2,4,12,0.0,10.0,10.0,25.0,0.5,-4.1841387721653325,11,0,20.0,0.0,0,0,0.0,0.0,0,-4.1841387721653325
STOP_101,30,120,1,4,34,0.0,10.0,10.0,25.0,0.5,-3.6651542771548002,17,1,20.0,0.0,0,0,0.0,0.0,0,-3.6651542771548002
STOP_107,210,840,7,4,99,0.0,10.0,10.0,25.0,0.5,-1.3613260088926227,12,0,20.0,0.0,0,0,0.0,0.0,0,-1.3613260088926227
STOP_103,90,360,3,4,52,0.0,10.0,10.0,25.0,0.5,-3.042481038242237,14,0,20.0,0.0,0,0,0.0,0.0,0,-3.042481038242237
STOP_104,120,480,4,4,64,0.0,10.0,10.0,25.0,0.5,4.917110176430447,21,0,20.0,0.0,0,0,0.0,0.0,0,4.917110176430447
STOP_104,120,480,4,4,52,0.0,10.0,10.0,25.0,0.5,3.481299514116136,14,0,20.0,0.0,0,0,0.0,0.0,0,3.481299514116136
STOP_105,150,600,5,4,12,0.0,10.0,10.0,25.0,0.5,-3.9529901807805663,11,0,20.0,0.0,0,0,0.0,0.0,0,-3.9529901807805663
STOP_109,270,1080,9,4,23,0.0,10.0,10.0,25.0,0.5,1.0416374984934984,11,0,20.0,0.0,0,0,0.0,0.0,0,1.0416374984934984
STOP_103,90,360,3,4,37,0.0,10.0,10.0,25.0,0.5,4.056954878936441,10,0,20.0,0.0,0,0,0.0,0.0,0,4.056954878936441
STOP_109,270,1080,9,4,62,0.0,10.0,10.0,25.0,0.5,4.037047460551825,12,0,20.0,0.0,0,0,0.0,0.0,0,4.037047460551825
STOP_107,210,840,7,4,22,0.0,10.0,10.0,25.0,0.5,4.871238771237855,18,1,20.0,0.0,0,0,0.0,0.0,0,4.871238771237855
STOP_104,120,480,4,4,3,0.0,10.0,10.0,25.0,0.5,7.922705608403404,8,1,20.0,0.0,0,0,0.0,0.0,1,7.922705608403404
STOP_104,120,480,4,4,60,0.0,10.0,10.0,25.0,0.5,2.569285369115434,9,1,20.0,0.0,0,0,0.0,0.0,0,2.569285369115434
STOP_110,300,1200,10,4,55,0.0,10.0,10.0,25.0,0.5,-2.5499502786641415,20,0,20.0,0.0,0,0,0.0,0.0,0,-2.5499502786641415
STOP_102,60,240,2,4,1,0.0,10.0,10.0,25.0,0.5,2.8160978576258175,17,1,20.0,0.0,0,0,0.0,0.0,0,2.8160978576258175
STOP_103,90,360,3,4,23,0.0,10.0,10.0,25.0,0.5,8.348255897102298,11,0,20.0,0.0,0,0,0.0,0.0,1,8.348255897102298
STOP_102,60,240,2,4,33,0.0,10.0,10.0,25.0,0.5,0.09655363448265675,8,1,20.0,0.0,0,0,0.0,0.0,0,0.09655363448265675
STOP_103,90,360,3,4,1,0.0,10.0,10.0,25.0,0.5,0.25304486636095413,17,1,20.0,0.0,0,0,0.0,0.0,0,0.25304486636095413
STOP_110,300,1200,10,4,60,0.0,10.0,10.0,25.0,0.5,4.568528118294423,9,1,20.0,0.0,0,0,0.0,0.0,0,4.568528118294423
STOP_101,30,120,1,4,28,0.0,10.0,10.0,25.0,0.5,2.6938324716214854,7,1,20.0,0.0,0,0,0.0,0.0,0,2.6938324716214854
STOP_100,0,0,0,4,52,0.0,10.0,10.0,25.0,0.5,2.453432777500733,14,0,20.0,0.0,0,0,0.0,0.0,0,2.453432777500733
STOP_100,0,0,0,4,53,0.0,10.0,10.0,25.0,0.5,-2.6056264785174914,15,0,20.0,0.0,0,0,0.0,0.0,0,-2.6056264785174914
STOP_109,270,1080,9,4,69,0.0,10.0,10.0,25.0,0.5,4.673543579385339,7,1,20.0,0.0,0,0,0.0,0.0,0,4.673543579385339
STOP_107,210,840,7,4,12,0.0,10.0,10.0,25.0,0.5,6.216915246390586,11,0,20.0,0.0,0,0,0.0,0.0,1,6.216915246390586
STOP_100,0,0,0,4,15,0.0,10.0,10.0,25.0,0.5,8.735083483924747,17,1,20.0,0.0,0,0,0.0,0.0,1,8.735083483924747
