service_id,date,exception_type
401,20260504,1
501,20260504,1
6701,20260504,1
4401,20260504,1
401,20260505,1
501,20260505,1
6701,20260505,1
4501,20260505,1
7001,20260505,1
401,20260506,1
501,20260506,1
6701,20260506,1
4401,20260506,1
7001,20260506,1
401,20260507,1
501,20260507,1
6701,20260507,1
4401,20260507,1
7001,20260507,1
401,20260508,1
501,20260508,1
6701,20260508,1
4501,20260508,1
401,20260511,1
501,20260511,1
6701,20260511,1
4401,20260511,1
401,20260512,1
501,20260512,1
6701,20260512,1
4501,20260512,1
7001,20260512,1
401,20260513,1
501,20260513,1
6701,20260513,1
4401,20260513,1
7001,20260513,1
401,20260514,1
501,20260514,1
6701,20260514,1
4401,20260514,1
7001,20260514,1
401,20260515,1
501,20260515,1
6701,20260515,1
4501,20260515,1
4,20260518,1
1,20260518,2
401,20260519,1
501,20260519,1
6701,20260519,1
4501,20260519,1
7001,20260519,1
401,20260520,1
501,20260520,1
6701,20260520,1
4401,20260520,1
7001,20260520,1
401,20260521,1
501,20260521,1
6701,20260521,1
4401,20260521,1
7001,20260521,1
401,20260522,1
501,20260522,1
6701,20260522,1
4501,20260522,1
401,20260525,1
501,20260525,1
6701,20260525,1
4401,20260525,1
401,20260526,1
501,20260526,1
6701,20260526,1
4501,20260526,1
7001,20260526,1
401,20260527,1
501,20260527,1
6701,20260527,1
4401,20260527,1
7001,20260527,1
401,20260528,1
501,20260528,1
6701,20260528,1
4401,20260528,1
7001,20260528,1
401,20260529,1
501,20260529,1
6701,20260529,1
4501,20260529,1
401,20260601,1
501,20260601,1
6701,20260601,1
4401,20260601,1
401,20260602,1
501,20260602,1
6701,20260602,1
4501,20260602,1
7001,20260602,1
401,20260603,1
501,20260603,1
6701,20260603,1
4401,20260603,1
7001,20260603,1
401,20260604,1
501,20260604,1
6701,20260604,1
4401,20260604,1
7001,20260604,1
401,20260605,1
501,20260605,1
6701,20260605,1
4501,20260605,1
